percentile,final_nav_5yr,total_return_pct,scheme_name,current_nav
5,211.28188203727123,2.8380889055157787,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451
25,261.0642831039879,27.06887924808734,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451
50,302.3967694863701,47.18680828342043,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451
75,353.2591337088453,71.94325348080335,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451
95,428.0429503786985,108.34308442338978,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451
